race_id,circuit_name,race_name,unfiltered_race_date,race_date
207,Circuit of The Americas,FORMULA 1 UNITED STATES GRAND PRIX , 17 Nov 2013,2013-11-17
208,Yas Marina Circuit,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX , 03 Nov 2013,2013-11-03
209,Buddh International Circuit,FORMULA 1 AIRTEL INDIAN GRAND PRIX , 27 Oct 2013,2013-10-27
210,Suzuka Circuit,FORMULA 1 JAPANESE GRAND PRIX , 13 Oct 2013,2013-10-13
211,Korean International Circuit,FORMULA 1 KOREAN GRAND PRIX , 06 Oct 2013,2013-10-06
212,Marina Bay Street Circuit,FORMULA 1 SINGAPORE GRAND PRIX , 22 Sep 2013,2013-09-22
213,Autodromo Nazionale Monza,FORMULA 1 GRAN PREMIO D'ITALIA , 08 Sep 2013,2013-09-08
214,Circuit de Spa-Francorchamps,FORMULA 1 SHELL BELGIAN GRAND PRIX , 25 Aug 2013,2013-08-25
215,Hungaroring,FORMULA 1 MAGYAR NAGYDÃJ , 28 Jul 2013,2013-07-28
216,Nürburgring,FORMULA 1 GROSSER PREIS VON DEUTSCHLAND , 07 Jul 2013,2013-07-07
217,Silverstone Circuit,FORMULA 1 BRITISH GRAND PRIX , 30 Jun 2013,2013-06-30
218,Circuit Gilles-Villeneuve,FORMULA 1 GRAND PRIX DU CANADA , 09 Jun 2013,2013-06-09
219,Circuit de Monaco,FORMULA 1 GRAND PRIX DE MONACO , 26 May 2013,2013-05-26
220,Circuit de Barcelona-Catalunya,FORMULA 1 GRAN PREMIO DE , 12 May 2013,2013-05-12
221,Bahrain International Circuit,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX , 21 Apr 2013,2013-04-21
222,Shanghai International Circuit,FORMULA 1 UBS CHINESE GRAND PRIX , 14 Apr 2013,2013-04-14
223,Sepang International Circuit,FORMULA 1 PETRONAS MALAYSIA GRAND PRIX , 24 Mar 2013,2013-03-24
224,Albert Park Grand Prix Circuit,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX , 17 Mar 2013,2013-03-17
225,Autódromo José Carlos Pace,FORMULA 1 GRANDE PRÃŠMIO PETROBRAS DO BRASIL , 25 Nov 2012,2012-11-25
226,Circuit of The Americas,FORMULA 1 UNITED STATES GRAND PRIX , 18 Nov 2012,2012-11-18
227,Yas Marina Circuit,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX , 04 Nov 2012,2012-11-04
228,Buddh International Circuit,FORMULA 1 AIRTEL INDIAN GRAND PRIX , 28 Oct 2012,2012-10-28
229,Korean International Circuit,FORMULA 1 KOREAN GRAND PRIX , 14 Oct 2012,2012-10-14
230,Suzuka Circuit,FORMULA 1 JAPANESE GRAND PRIX , 07 Oct 2012,2012-10-07
231,Marina Bay Street Circuit,FORMULA 1 SINGTEL SINGAPORE GRAND PRIX , 23 Sep 2012,2012-09-23
232,Autodromo Nazionale Monza,FORMULA 1 GRAN PREMIO SANTANDER Dâ€™ITALIA , 09 Sep 2012,2012-09-09
233,Circuit de Spa-Francorchamps,FORMULA 1 SHELL BELGIAN GRAND PRIX , 02 Sep 2012,2012-09-02
234,Hungaroring,FORMULA 1 ENI MAGYAR NAGYDÃJ , 29 Jul 2012,2012-07-29
235,Hockenheimring,FORMULA 1 GROSSER PREIS SANTANDER VON DEUTSCHLAND , 22 Jul 2012,2012-07-22
236,Silverstone Circuit,FORMULA 1 SANTANDER BRITISH GRAND PRIX , 08 Jul 2012,2012-07-08
237,Valencia Street Circuit,FORMULA 1 GRAND PRIX OF EUROPE , 24 Jun 2012,2012-06-24
238,Circuit Gilles-Villeneuve,FORMULA 1 GRAND PRIX DU CANADA , 10 Jun 2012,2012-06-10
239,Circuit de Monaco,FORMULA 1 GRAND PRIX DE MONACO , 27 May 2012,2012-05-27
240,Circuit de Barcelona-Catalunya,FORMULA 1 GRAN PREMIO DE SANTANDER , 13 May 2012,2012-05-13
241,Bahrain International Circuit,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX , 22 Apr 2012,2012-04-22
242,Shanghai International Circuit,FORMULA 1 UBS CHINESE GRAND PRIX , 15 Apr 2012,2012-04-15
243,Sepang International Circuit,FORMULA 1 PETRONAS MALAYSIA GRAND PRIX , 25 Mar 2012,2012-03-25
244,Albert Park Grand Prix Circuit,FORMULA 1 QANTAS AUSTRALIAN GRAND PRIX , 18 Mar 2012,2012-03-18
